topGenre,isHighEnergy,isDanceable,isLoud,isLively,isHighValence,isAcoustic,isSpeechy,isPopular
adult standards,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
album rock,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative hip hop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
alternative metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative pop rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch indie,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
garage rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
permanent wave,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic uk pop,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dance pop,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
permanent wave,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern folk rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch pop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
detroit hip hop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
afropop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
permanent wave,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adult standards,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
classic uk pop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative rock,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
irish rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
disco,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
big room,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern rock,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dance pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
irish rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adult standards,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
danish pop rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
britpop,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
boy band,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
album rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
carnaval limburg,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
arkansas country,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch cabaret,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
latin alternative,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dance pop,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
album rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
danish pop rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british folk,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
celtic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
chanson,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
britpop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch indie,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
celtic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
boy band,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative metal,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch indie,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch indie,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch indie,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
celtic rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dutch pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
carnaval limburg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
modern rock,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
dance pop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
carnaval limburg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch cabaret,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
alternative metal,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
german pop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch indie,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
classic rock,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dutch cabaret,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
hip pop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
east coast hip hop,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
classic uk pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
neo mellow,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
modern rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
blues rock,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
electro,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative dance,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dance pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
australian pop,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
dutch pop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
album rock,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
adult standards,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
belgian rock,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
alternative dance,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
downtempo,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
british soul,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
adult standards,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
album rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
adult standards,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch indie,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
british invasion,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
irish rock,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
canadian pop,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
dutch cabaret,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
album rock,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
permanent wave,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic rock,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
alternative rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
disco,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
dutch indie,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
album rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
album rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
modern rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative metal,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
dutch indie,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
adult standards,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
bow pop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
dutch indie,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
celtic rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
dance pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
album rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
album rock,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch pop,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
soft rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
acoustic pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
acid jazz,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
dutch cabaret,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative metal,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
dutch prog,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative dance,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
candy pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
irish rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
chanson,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
dutch indie,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
modern rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
britpop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
operatic pop,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
trance,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch cabaret,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
album rock,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
album rock,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
permanent wave,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
